Regio's;Perioden;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal);Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal);Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal);Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal);Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal);Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 1 km (aantal);Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 3 km (aantal);Horeca/Cafés en dergelijke/Aantal cafés e.d./Binnen 5 km (aantal);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 1 km (aantal);Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 3 km (aantal);Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 5 km (aantal);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Restaurants/Aantal restaurants/Binnen 1 km (aantal);Horeca/Restaurants/Aantal restaurants/Binnen 3 km (aantal);Horeca/Restaurants/Aantal restaurants/Binnen 5 km (aantal);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 5 km (aantal);Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 10 km (aantal);Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 20 km (aantal);Kinderopvang/Kinderdagverblijf/Afstand tot kinderdagverblijf (km);Kinderopvang/Kinderdagverblijf/Aantal kinderdagverbijven/Binnen 1 km (aantal);Kinderopvang/Kinderdagverblijf/Aantal kinderdagverbijven/Binnen 3 km (aantal);Kinderopvang/Kinderdagverblijf/Aantal kinderdagverbijven/Binnen 5 km (aantal);Kinderopvang/Buitenschoolse opvang/Afstand tot buitenschoolse opvang (km);Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 1 km (aantal);Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 3 km (aantal);Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 5 km (aantal);Onderwijs/Basisonderwijs/Afstand tot school (km);Onderwijs/Basisonderwijs/Aantal scholen/Binnen 1 km (aantal);Onderwijs/Basisonderwijs/Aantal scholen/Binnen 3 km (aantal);Onderwijs/Basisonderwijs/Aantal scholen/Binnen 5 km (aantal);Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Afstand tot school (km);Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 3 km (aantal);Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 5 km (aantal);Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 10 km (aantal);Onderwijs/Voortgezet onderwijs/Vmbo/Afstand tot school (km);Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3 km (aantal);Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5 km (aantal);Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10 km (aantal);Onderwijs/Voortgezet onderwijs/Havo/vwo/Afstand tot school (km);Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 3 km (aantal);Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 5 km (aantal);Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 10 km (aantal);Werkgelegenheid: aantal banen/A-U alle economische activiteiten /Binnen 10 km (x 1 000);Werkgelegenheid: aantal banen/A-U alle economische activiteiten /Binnen 20 km (x 1 000);Werkgelegenheid: aantal banen/A-U alle economische activiteiten /Binnen 50 km (x 1 000);Werkgelegenheid: aantal banen/A Landbouw, bosbouw en visserij /Binnen 10 km (x 1 000);Werkgelegenheid: aantal banen/A Landbouw, bosbouw en visserij /Binnen 20 km (x 1 000);Werkgelegenheid: aantal banen/A Landbouw, bosbouw en visserij /Binnen 50 km (x 1 000);Werkgelegenheid: aantal banen/B-F Nijverheid en energie/Binnen 10 km (x 1 000);Werkgelegenheid: aantal banen/B-F Nijverheid en energie/Binnen 20 km (x 1 000);Werkgelegenheid: aantal banen/B-F Nijverheid en energie/Binnen 50 km (x 1 000);Werkgelegenheid: aantal banen/G-N Commerciële dienstverlening/Binnen 10 km (x 1 000);Werkgelegenheid: aantal banen/G-N Commerciële dienstverlening/Binnen 20 km (x 1 000);Werkgelegenheid: aantal banen/G-N Commerciële dienstverlening/Binnen 50 km (x 1 000);Werkgelegenheid: aantal banen/O-U Niet-commerciële dienstverlening/Binnen 10 km (x 1 000);Werkgelegenheid: aantal banen/O-U Niet-commerciële dienstverlening/Binnen 20 km (x 1 000);Werkgelegenheid: aantal banen/O-U Niet-commerciële dienstverlening/Binnen 50 km (x 1 000);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km);Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km);Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Museum/Aantal musea/Binnen 5 km (aantal);Vrije tijd en cultuur/Museum/Aantal musea/Binnen 10 km (aantal);Vrije tijd en cultuur/Museum/Aantal musea/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal);Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal);Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km);Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 10 km (aantal);Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 20 km (aantal);Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 50 km (aantal);Afstand tot brandweerkazerne (km)
Nederland;2018;     1.0;     1.7;     9.5;    20.2;     6.3;     1.2;     4.7;     1.2;     3.2;     9.2;     7.0;     0.8;     1.9;     4.9;       .;       .;       .;       .;       .;     0.9;     1.9;    10.9;    22.8;     0.8;     9.0;    52.8;   110.1;     2.7;     2.7;     7.1;    20.3;     1.2;     4.6;    30.6;    62.8;     0.8;     6.8;    45.0;    93.7;     0.8;     9.2;    64.1;   133.9;     2.5;    17.2;    39.7;    93.1;     0.6;     3.6;    22.0;    48.3;     0.8;     2.5;    15.1;    33.4;     0.7;     2.0;    10.9;    23.4;     2.4;     3.9;     8.2;    20.6;     2.5;     3.0;     6.3;    15.8;     3.4;     1.9;     4.1;    10.0;   133.3;   349.0;  1443.1;     0.7;     3.0;    14.4;    12.0;    36.3;   167.0;    72.5;   187.7;   766.7;    43.2;   109.2;   442.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     5.2;    10.7;     1.9;     3.3;    18.6;     3.9;     3.4;     7.9;    21.1;     4.9;     3.1;     7.0;    16.3;    11.0;     6.3;     1.3;     3.0;     7.4;     8.1;     4.1;     6.1;     2.4;     7.1;    32.9;     2.1
Nederland;2019;     1.0;     1.7;     9.6;    20.2;     6.3;     1.2;     4.8;     1.2;     3.0;     8.8;     7.1;     0.7;     1.8;     4.6;       .;       .;       .;       .;       .;     0.9;     2.0;    11.1;    23.3;     0.8;     9.1;    53.7;   111.7;     2.6;     2.8;     7.3;    21.2;     1.2;     4.6;    30.5;    62.0;     0.8;     7.1;    47.1;    97.6;     0.8;     9.5;    66.1;   137.2;     2.4;    17.8;    41.0;    95.8;     0.6;     3.6;    22.5;    49.4;     0.7;     2.6;    15.6;    34.6;     0.7;     2.0;    10.9;    23.6;     2.4;     3.9;     8.2;    20.4;     2.5;     3.0;     6.3;    15.8;     3.3;     2.0;     4.1;    10.2;   137.7;   360.7;  1486.7;     0.8;     3.1;    14.8;    12.4;    37.7;   172.8;    74.7;   193.5;   788.3;    45.0;   113.9;   460.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     5.1;    13.6;     1.9;     3.2;    18.5;     3.9;     3.5;     8.2;    21.5;     4.8;     3.1;     7.0;    16.2;    10.9;     6.3;     1.3;     2.9;     7.4;     8.1;     4.1;     5.8;     2.7;     7.9;    35.9;     2.1
Nederland;2020;     1.0;     1.5;     8.5;    18.0;     6.4;     1.2;     4.8;     1.2;     3.0;     8.8;     7.1;     0.7;     1.7;     4.4;       .;       .;       .;       .;       .;     0.9;     2.0;    11.5;    24.0;     0.8;     9.0;    53.3;   111.2;     2.6;     2.8;     7.4;    21.1;     1.3;     4.5;    29.8;    60.7;     0.8;     7.2;    48.6;   100.7;     0.8;     9.8;    67.9;   141.0;     2.5;    18.5;    42.5;    98.7;     0.6;     3.6;    22.2;    48.9;     0.7;     2.6;    16.0;    35.6;     0.7;     2.0;    10.9;    23.6;     2.4;     3.9;     8.1;    20.3;     2.5;     3.0;     6.3;    15.8;     3.3;     2.0;     4.2;    10.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     5.1;    13.5;     2.0;     3.2;    18.5;     4.0;     3.5;     8.3;    21.7;     4.8;     3.2;     7.1;    16.6;    10.2;     6.4;     1.3;     2.9;     7.4;     8.0;     4.1;     5.7;     2.9;     8.3;    37.5;     2.1
Nederland;2021;     1.0;     1.5;     8.3;    17.6;     6.5;     1.2;     4.8;     1.2;     3.0;     8.8;     7.1;     0.7;     1.7;     4.3;       .;       .;       .;       .;       .;     0.9;     2.0;    11.6;    24.3;     0.8;     8.5;    50.9;   106.0;     2.6;     2.5;     6.8;    19.8;     1.3;     4.1;    27.4;    55.8;     0.8;     6.8;    45.2;    93.4;     0.8;    10.1;    70.6;   146.8;     2.5;    18.3;    42.3;    98.5;     0.7;     3.3;    20.8;    45.8;     0.7;     2.4;    15.1;    33.8;     0.7;     1.9;    10.7;    23.1;     2.5;     3.8;     8.0;    20.1;     2.6;     2.9;     6.2;    15.7;     3.4;     2.0;     4.2;    10.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.8;     5.1;    10.7;     2.0;     3.2;    18.5;     4.1;     3.5;     8.3;    21.8;     4.8;     3.3;     7.4;    17.1;    10.1;     6.5;     1.3;     2.9;     7.2;     7.6;     4.0;     5.2;     3.4;     9.9;    44.7;     2.1
Aa en Hunze;2018;     2.5;     0.5;     1.2;     2.3;    11.2;     2.5;    10.7;     0.0;     0.7;     3.9;    11.5;     0.0;     0.4;     1.4;       .;       .;       .;       .;       .;     2.1;     0.7;     1.5;     2.6;     1.9;     2.1;     3.7;     6.7;     5.2;     0.4;     1.6;     7.7;     2.4;     0.4;     0.9;     2.2;     2.3;     0.4;     1.1;     3.0;     1.1;     2.0;     4.9;    11.0;     1.9;     3.1;    10.3;    37.0;     1.1;     1.3;     2.6;     4.9;     1.1;     1.3;     2.9;     5.6;     1.2;     0.8;     1.8;     3.8;     5.1;     0.2;     0.5;     4.0;     5.1;     0.2;     0.5;     3.5;    11.3;     0.0;     0.0;     0.7;    15.0;    75.7;   461.8;     0.1;     0.5;     3.6;     1.6;    10.0;    62.6;     6.2;    30.0;   197.3;     6.7;    32.8;   181.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;    12.8;    14.7;     2.5;     8.1;    32.2;     7.9;     0.1;     1.0;     6.6;    11.3;     0.0;     0.4;     2.6;    28.7;    11.6;     0.0;     0.3;     1.8;     9.6;    10.5;     6.0;     1.9;     8.1;    25.6;     2.7
Aa en Hunze;2019;     2.4;     0.6;     1.3;     2.3;    11.1;     2.5;    10.4;     0.0;     0.7;     3.2;    11.1;     0.0;     0.4;     1.4;       .;       .;       .;       .;       .;     2.1;     0.7;     1.5;     2.7;     1.9;     1.9;     3.5;     6.6;     5.2;     0.5;     1.9;     8.5;     2.4;     0.4;     0.9;     2.2;     2.3;     0.5;     1.4;     3.3;     1.1;     1.9;     5.1;    11.1;     2.5;     2.9;     9.9;    36.0;     1.2;     1.4;     3.1;     5.4;     1.1;     1.3;     3.0;     5.6;     1.2;     0.8;     1.8;     3.7;     5.2;     0.2;     0.4;     3.8;     5.2;     0.2;     0.4;     3.3;    11.3;     0.0;     0.0;     0.7;    15.0;    75.9;   468.0;     0.1;     0.5;     3.8;     1.7;    10.4;    64.4;     6.5;    30.8;   197.2;     6.4;    32.3;   187.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;    12.9;    28.6;     2.5;     7.7;    32.0;     7.9;     0.1;     1.0;     6.6;    11.3;     0.0;     0.4;     2.6;    28.6;    11.6;     0.0;     0.3;     1.8;     9.4;    10.5;     5.9;     1.7;     7.5;    26.0;     2.7
Aa en Hunze;2020;     2.4;     0.4;     1.1;     2.0;    11.1;     2.5;    10.4;     0.0;     0.7;     3.2;    11.1;     0.0;     0.4;     1.4;       .;       .;       .;       .;       .;     2.1;     0.7;     1.5;     2.8;     1.8;     2.2;     4.0;     7.5;     5.2;     0.4;     1.6;     7.6;     3.3;     0.3;     0.6;     1.8;     2.4;     0.5;     1.4;     3.7;     1.0;     1.9;     5.0;    10.6;     3.1;     2.4;     9.0;    33.7;     1.2;     1.1;     2.7;     4.9;     1.1;     1.4;     3.3;     6.1;     1.2;     0.8;     1.8;     3.7;     5.2;     0.2;     0.4;     3.7;     5.2;     0.2;     0.4;     3.3;    11.3;     0.0;     0.0;     0.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;    12.5;    28.6;     2.7;     7.7;    32.0;     7.9;     0.1;     1.0;     6.4;    11.3;     0.0;     0.4;     2.6;    28.7;    11.6;     0.0;     0.3;     1.8;     9.4;    10.8;     5.9;     1.5;     6.8;    26.1;     2.7
Aa en Hunze;2021;     2.5;     0.4;     1.0;     1.8;    11.1;     2.5;    10.4;     0.0;     0.7;     3.1;    11.1;     0.0;     0.4;     1.4;       .;       .;       .;       .;       .;     2.1;     0.7;     1.5;     2.7;     1.7;     2.0;     3.9;     7.2;     5.3;     0.4;     1.6;     7.0;     3.8;     0.2;     0.6;     1.6;     2.4;     0.6;     1.5;     3.8;     1.0;     1.9;     5.0;    10.8;     3.5;     2.4;     8.7;    33.5;     1.2;     1.1;     2.7;     4.7;     1.1;     1.4;     3.1;     5.6;     1.2;     0.8;     1.8;     3.6;     5.6;     0.2;     0.4;     3.5;     5.6;     0.2;     0.4;     3.1;    11.3;     0.0;     0.0;     0.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;    12.6;    15.0;     2.7;     7.7;    32.3;     8.0;     0.1;     1.0;     6.4;    11.3;     0.0;     0.4;     2.6;    29.0;    11.6;     0.0;     0.4;     1.8;     9.4;    10.8;     5.9;     1.5;     6.8;    26.9;     2.7
Aalburg;2018;     1.3;     0.6;     1.2;     2.8;    11.6;     2.5;    10.0;     0.0;     0.6;     5.2;    12.0;     0.0;     0.3;     2.1;       .;       .;       .;       .;       .;     1.3;     0.6;     1.8;     4.0;     0.9;     2.5;     5.4;    11.7;     3.2;     0.8;     1.4;    11.0;     1.5;     0.4;     1.2;     3.0;     1.5;     1.6;     2.9;     5.9;     1.4;     0.6;     1.2;     3.7;     4.0;     0.8;     3.8;    26.9;     0.9;     1.8;     3.5;     6.4;     1.0;     1.2;     2.6;     4.9;     0.7;     1.0;     2.5;     5.1;     3.3;     0.7;     0.8;     3.0;     3.3;     0.7;     0.8;     2.9;    10.1;     0.0;     0.0;     0.6;    19.1;   175.6;  1679.1;     1.1;     3.5;    15.8;     3.8;    31.2;   244.7;     9.9;    90.3;   870.5;     3.5;    43.9;   483.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    16.1;    20.5;     2.7;    11.7;    22.3;     7.2;     0.0;     1.4;    13.1;    11.1;     0.0;     0.3;     7.0;    19.8;    13.1;     0.0;     0.1;     3.3;    10.6;     4.4;    11.8;     0.3;     6.1;    31.6;     1.9
Aalburg;2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
