Gemeentecode;Wijkcode;Regionaam;Gemiddeld persoonlijk inkomen per inwoner (x 1000 euro);40 procent huishoudens met laagste besteedbaar inkomen;20 procent huishoudens met hoogste besteedbaar inkomen
Nederland;;Totaal_Nederland;27,1;40;20
;WK001400;Centrum;21,7;80,3;5,4
;WK001401;Oud-Zuid;24,5;69,3;6,8
;WK001403;Oud-Noord;20,2;76,1;4,4
;WK001404;Oosterparkwijk;22,4;72,4;6
;WK001405;Zuidoost;34,4;40;23,2
;WK001406;Helpman e.o.;30,6;49,3;17,2
;WK001407;Zuidwest;29,3;52;15,7
;WK001408;Hoogkerk e.o.;24,1;38,1;20,6
;WK001409;Nieuw-West;22,2;55,5;13,2
;WK001410;Noordwest;19,1;72,9;5,2
;WK001411;Noordoost;22,9;47,4;11,9
;WK001412;Noorddijk e.o.;23,6;40,3;13,6
;WK001413;Meerdorpen;29,2;28,7;28,3
;WK001414;Meerstad e.o.;29;13,9;45,6
;WK001415;Ten Boer e.o.;24,6;30,1;19,5
;WK001416;Ten Post e.o.;25,6;31,2;19,3
;WK001417;Haren-West e.o.;35,4;31,5;32,3
;WK001418;Haren-Oost e.o.;26,3;30,1;22,8
;WK001419;Glimmen-Onnen-Noordlaren;36;22,5;38,7
GM0034;Totaal;Almere;26,2;34,2;21,5
;WK003401;Centrum Almere Haven;24,8;59,8;6,1
;WK003402;De Werven;21,6;49,1;7,6
;WK003403;De Hoven;21,6;51,1;9,6
;WK003404;De Meenten;25,6;38,2;16,1
;WK003405;De Grienden;24,2;33,7;16,5
;WK003406;De Marken;23,9;33,7;16,7
;WK003407;De Gouwen;27,8;28,4;22,1
;WK003408;De Wierden;19,1;58,4;5,9
;WK003409;De Velden;39,9;9,3;53,9
;WK003410;Overgooi;58;15,3;69,3
;WK003411;De Laren;17,9;51;11,1
;WK003414;De Steiger;.;.;.
;WK003415;Stichtsekant;.;.;.
;WK003416;Overig Almere Haven;.;.;.
;WK003417;Centrum Almere Stad;28,6;52,4;8,7
;WK003418;Filmwijk;26,9;36,2;21,9
;WK003419;Danswijk;23,7;29;20,8
;WK003420;Parkwijk;27,7;31,8;28,8
;WK003421;Verzetswijk;28,5;24,9;29,6
;WK003422;Waterwijk;24,8;34,2;16,7
;WK003423;Tussen de Vaarten Noord;24,7;31,5;22,6
;WK003424;Tussen de Vaarten Zuid;26,4;26,9;25,5
;WK003425;Staatsliedenwijk;19,2;62,7;6,5
;WK003426;Kruidenwijk;23,9;36,9;15,8
;WK003427;Stedenwijk;20,5;48,3;9,7
;WK003428;Muziekwijk Noord;27,6;30;24,5
;WK003429;Muziekwijk Zuid;25,5;38,3;18,2
;WK003430;Literatuurwijk;27;26,2;31,7
;WK003431;Noorderplassen;34,3;14,7;46
;WK003432;Hortus;.;.;.
;WK003434;Randstad;.;.;.
;WK003435;Markerkant;.;.;.
;WK003436;Hollandsekant;.;.;.
;WK003437;Gooisekant;.;.;.
;WK003438;Veluwsekant;.;.;.
;WK003439;Sallandsekant;.;.;.
;WK003440;Overig Almere Stad;.;.;.
;WK003441;Centrum Almere Buiten;22,9;59,6;5,9
;WK003442;Oostvaardersbuurt;25,6;27,2;27,9
;WK003443;Seizoenenbuurt;27;26,9;26,2
;WK003444;Molenbuurt;21;44,6;12,6
;WK003445;Bouwmeesterbuurt;23;38,9;12,2
;WK003446;Landgoederenbuurt;26;31,2;24,2
;WK003447;Faunabuurt;26,3;27,5;28
;WK003448;Bloemenbuurt;24,2;37,3;16,5
;WK003449;Regenboogbuurt;25,5;30,1;21,6
;WK003450;Indischebuurt;22,8;53;8,5
;WK003451;Eilandenbuurt;27,6;26,2;26,4
;WK003452;Stripheldenbuurt;26,5;23,3;29,7
;WK003453;Sieradenbuurt;34;11,5;40,5
;WK003456;Poldervlak;.;.;.
;WK003457;De Vaart;.;.;.
;WK003458;Buitenvaart;23,9;.;.
;WK003459;Overig Almere Buiten;.;.;.
;WK003460;Europakwartier Oost;.;.;.
;WK003461;Europakwartier West;28,6;35,3;13,7
;WK003462;Columbuskwartier;27,8;29,6;23,4
;WK003463;Homeruskwartier;28,6;23,8;25,8
;WK003464;Olympiakwartier Oost;.;.;.
;WK003465;Olympiakwartier West;10,3;70,6;0,8
;WK003466;Duin;36,2;14,9;41,5
;WK003471;Hogekant;.;.;.
;WK003472;Middenkant;.;.;.
;WK003473;Lagekant;.;.;.
;WK003474;Overig Almere Poort;.;.;.
;WK003475;Vogelhorst;47,5;7,9;58,9
;WK003476;Nobelhorst;29,7;19;35,7
;WK003477;Oosterwold;33,2;10,6;45,5
;WK003479;Twentsekant;.;.;.
;WK003485;Overig Almere Hout;.;.;.
;WK003496;Overig Almere Pampus;.;.;.
GM0037;Totaal;Stadskanaal;21,8;46,9;11,8
;WK003701;Stadskanaal;21,9;49,6;10,7
;WK003702;Musselkanaal;21;47,3;10,5
;WK003703;Onstwedde;22;39,3;16,9
;WK003704;Mussel;23,6;28,1;21,3
;WK003705;Alteveer;23,5;34,7;15,4
GM0047;Totaal;Veendam;22,9;44;12,1
;WK004700;Wijk 00 Veendam-kern;21,9;47,4;9,7
;WK004701;Wijk 01 Veendam-buitengebied;25,3;27,8;18,6
;WK004702;Wijk 02 Wildervank;25,6;36,4;18,8
GM0050;Totaal;Zeewolde;27,7;32,3;25,2
;WK005000;Wijk 00;27,7;32,3;25,2
GM0059;Totaal;Achtkarspelen;21,2;40,5;13,4
;WK005900;Wijk 00 Noord;21,4;39,4;12,8
;WK005901;Wijk 01 Centrum;21,5;36,7;16,4
;WK005902;Wijk 02 Zuid;21,1;42,3;13,2
GM0060;Totaal;Ameland;24;39,4;17,8
;WK006000;Wijk 00;24;39,4;17,8
GM0072;Totaal;Harlingen;22,9;46,8;12,5
;WK007200;Wijk 00 Harlingen;22,8;47,4;12,3
;WK007201;Wijk 01 Midlum;24,7;37,5;16,4
;WK007202;Wijk 02 Wijnaldum;23,7;39,3;15,1
GM0074;Totaal;Heerenveen;25,4;40,1;17,9
;WK007401;Wijk 01 Heerenveen;24,9;45;14,8
;WK007402;Wijk 02 Noord-Heerenveen;24,9;23,2;27,8
;WK007403;Wijk 03 Hoornsterzwaag;28,7;25,1;29,5
;WK007404;Wijk 04 Jubbega;23,9;36,1;19,1
;WK007406;Wijk 06 Oranjewoud;31,7;21,6;33,6
;WK007407;Skarsterlân;25,5;24,9;27,3
;WK007409;Boarnsterhim;27,7;34,5;22,2
GM0080;Totaal;Leeuwarden;23,7;50,9;12,3
;WK008010;Binnenstad;23,1;76,6;4,6
;WK008011;Potmargezone;21,4;61,1;6,5
;WK008020;Oud-Oost;20,2;68,8;4,3
;WK008030;Sonnenborgh e.o.;25,3;54,7;13,2
;WK008031;Westeinde e.o.;23,5;36,9;12,3
;WK008032;Vossepark & Helicon;27,6;38,5;18,8
;WK008040;Huizum-West;22,9;53,7;6,9
;WK008041;Nijlân & De Zwette;22,3;66,2;4,2
;WK008050;Heechterp & Schieringen;16,5;80,2;1,1
;WK008051;Camminghaburen e.o.;24,7;35,2;14,4
;WK008060;Bilgaard & Havankpark e.o.;18,2;71,5;4,8
;WK008061;Vrijheidswijk;17,4;69,5;4,7
;WK008062;Dokkumer Ie e.o.;27,2;27,3;24,6
;WK008063;Stiens e.o.;24,3;31,8;17,9
;WK008070;Aldlân & De Hemrik;24,6;45,9;10,6
;WK008071;Goutum;29,4;14,7;31,1
;WK008072;Hempens/Teerns & Zuiderburen;31,2;10,2;42,4
;WK008073;De Zuidlanden;26,7;8,8;37,5
;WK008074;Middelsee;.;.;.
;WK008080;Dorpen Zuid-Oost;24,5;36;18,7
;WK008081;Dorpen Zuid-West;25,8;30,4;24,5
;WK008082;Grou e.o.;25,5;38,4;18,8
GM0085;Totaal;Ooststellingwerf;23,5;39;15,4
;WK008501;Appelscha;24,5;41;15,1
;WK008502;Donkerbroek;24;33,8;20
;WK008503;Elsloo;24,2;30,5;21,2
;WK008504;Fochteloo;29,9;18;26,6
;WK008505;Haule;24,8;24,7;27,8
;WK008506;Haulerwijk;22,5;40,4;16
;WK008507;Langedijke;26,9;18,6;26,5
;WK008508;Makkinga;26;28,6;21,6
;WK008509;Nijeberkoop;26,8;28,8;28,8
;WK008510;Oldeberkoop;23,8;34,1;16,4
;WK008511;Oosterwolde;22,2;44,7;10,8
;WK008512;Ravenswoud;28,6;22,8;29,1
;WK008513;Waskemeer;22,9;24,2;22
GM0086;Totaal;Opsterland;24,4;35,4;19,3
;WK008601;Bakkeveen;25,3;31,2;22,1
;WK008602;Beetsterzwaag;28,6;35,1;20,3
;WK008604;Frieschepalen;23,2;25,5;27,1
;WK008605;Gorredijk;22,7;45,6;13
;WK008606;Hemrik;26;30,8;25,7
;WK008607;Jonkerslân;25,5;20,7;32,8
;WK008608;Langezwaag;26,8;26,8;27,3
;WK008609;Lippenhuizen;24,1;29,6;20,1
;WK008610;Luxwoude;25,3;22,6;29,9
;WK008611;Nij Beets;25,1;29,3;23,9
;WK008613;Siegerswoude;25,6;20,8;29,3
;WK008614;Terwispel;24,7;26,5;27
;WK008615;Tijnje;24,4;29,9;19,1
;WK008616;Ureterp;22,7;36;17,9
;WK008617;Wijnjewoude;23,4;35,2;18,1
GM0088;Totaal;Schiermonnikoog;27,3;45,1;13,1
;WK008800;Wijk 00;27,3;45,1;13,1
GM0090;Totaal;Smallingerland;23,6;42,4;14,4
;WK009000;Wijk 00 Drachten;23,3;44,7;12,4
;WK009001;Wijk 01 Overig Smallingerland;24,9;31;24
GM0093;Totaal;Terschelling;27,2;43,5;18,6
;WK009300;Wijk 00 West-Terschelling;27,4;49,8;14,4
;WK009301;Wijk 01 Midsland;26,9;38,1;21,2
;WK009302;Wijk 02 Formerum;29,4;30,5;26,6
;WK009303;Wijk 03 Lies;25,5;.;.
;WK009304;Wijk 04 Hoorn;27,2;37;24,7
;WK009305;Wijk 05 Oosterend;25,4;.;.
GM0096;Totaal;Vlieland;27,3;51,9;16,5
;WK009600;Wijk 00;27,3;51,9;16,5
GM0098;Totaal;Weststellingwerf;23,5;40,2;16
;WK009800;Wolvega;22,4;46,2;11,2
;WK009801;De Wolden-Ter Idzard;27,9;19,1;31,9
;WK009802;De Lamers;25,1;21,2;39,4
;WK009803;Lange-Nije-Munk;24,9;26,2;21,1
;WK009804;Scherpenzeel-Spanga;23;30,5;24,6
;WK009805;Oldetrijne-Sonnega;27,4;21;37
;WK009806;Blesdijke;26,4;19,1;33,3
;WK009807;De Blesse-Peperga;22,6;33,4;17,3
;WK009808;Steggerda;24,6;32,6;17,9
;WK009809;De Hoeve-Vinkega;27,2;20,1;35
;WK009810;Noordwolde;21,9;50,1;12,1
;WK009811;Oosterstreek;25,8;28,1;24,6
;WK009812;Zandhuizen;28,2;35,5;18,4
;WK009813;Boijl;25,1;33,2;20
;WK009814;Nijeholtpade;26,1;21,6;33,7
;WK009815;Oldeholtpade;29,1;20,6;23,4
GM0106;Totaal;Assen;25;40,9;15,4
;WK010600;Wijk 00 Assen centrum;29,4;55,2;13,1
;WK010601;Wijk 01 Lariks;22,1;62,8;5,4
;WK010602;Wijk 02 Noorderpark;21,9;55,5;7,1
;WK010603;Wijk 03 Assen Oost;26;46,9;13,4
;WK010604;Wijk 04 Pittelo;20,2;42,9;8,5
;WK010605;Wijk 05 Assen West;25,3;33,2;14,5
;WK010606;Wijk 06 Peelo;22,9;36,6;10,5
;WK010607;Wijk 07 Marsdijk;26,8;23,6;22,7
;WK010608;Wijk 08 Kloosterveen;25,9;18,1;31,7
;WK010699;Wijk 99 Buitengebied;29,6;28,4;33,1
GM0109;Totaal;Coevorden;24,6;37,9;17,8
;WK010910;Wijk 10 Coevorden;22,4;44,8;11,7
;WK010911;Wijk 11 Steenwijksmoer;24,2;26;21,1
;WK010912;Wijk 12 Nieuwe Krim;21,2;.;.
;WK010913;Wijk 13 Weijerswold;.;.;.
;WK010914;Wijk 14 Vlieghuis en Padhuis;23;.;.
;WK010920;Wijk 20 Dalen;26,7;29,6;25,2
;WK010930;Wijk 30 Oosterhesselen;25,6;31,8;21,1
;WK010940;Wijk 40 Sleen;25,5;38;19
;WK010950;Wijk 50 Zweeloo;27,2;32,4;24
GM0114;Totaal;Emmen;23;43,4;13,3
;WK011401;Wijk 01 Nieuw-Weerdinge;21,4;40,4;14,9
;WK011402;Wijk 02 Roswinkel;23,5;33,4;16
;WK011403;Wijk 03 Emmer-Compascuum;22;39,7;12,2
;WK011404;Wijk 04 Barger-Compascuum;22,1;39;13,4
;WK011405;Wijk 05 Nieuw-Dordrecht;22,8;35,5;18,3
;WK011406;Wijk 06 Nieuw-Amsterdam;22,9;39,7;15,8
;WK011407;Wijk 07 Erica;24,7;33,2;20,6
;WK011408;Wijk 08 Klazienaveen;22,1;42,4;12,9
;WK011409;Wijk 09 Zwartemeer;21,9;36,6;14,7
;WK011410;Wijk 10 Schoonebeek;24;34,7;15,8
;WK011413;Wijk 13 Veenoord;20,9;48,6;9
;WK011421;Wijk 21 Nieuw-Schoonebeek;24,8;30,5;19,3
;WK011432;Wijk 32 Weiteveen;22,4;36,1;17,4
;WK011440;Wijk 40 Emmen-Centrum;24,7;62,3;5,8
;WK011441;Wijk 41 Emmen-Centrum Oost;28;41,7;19,6
;WK011442;Wijk 42 Emmermeer;20,9;61,2;8,6
;WK011443;Wijk 43 Angelslo;19,2;60,1;4,7
;WK011444;Wijk 44 Emmerhout;20,5;55,5;6,2
;WK011445;Wijk 45 Emmerschans;20,7;43,4;11,1
;WK011446;Wijk 46 Bargeres;21,8;49;8,5
;WK011447;Wijk 47 Rietlanden;26,7;27,1;20,2
;WK011448;Wijk 48 Parc Sandur;31,8;14,1;30,4
;WK011449;Wijk 49 Delftlanden;27,3;10,5;37,3
;WK011450;Wijk 50 Barger-Oosterveld;24,3;30,5;21,7
;WK011451;Wijk 51 Kern Emmen Noord;25,5;29,6;21,9
;WK011452;Wijk 52 Kern Emmen Zuid;31,1;21,9;32,5
;WK011453;Wijk 53 Kern Emmen Industrieterreinen;.;.;.
GM0118;Totaal;Hoogeveen;22,7;41,3;13,7
;WK011850;Wijk 50 Hoogeveen;21,3;52,1;8,2
;WK011851;Wijk 51 De Weide;25,4;26,7;20,2
;WK011852;Wijke 52 Fluitenberg;29,3;17,4;28,8
;WK011853;Wijk 53 Elim;22,4;36,6;14,5
;WK011854;Wijk 54 Hollandscheveld;21,1;39,7;15,3
;WK011855;Wijk 55 Noordscheschut;22,3;29,5;19,1
;WK011856;Wijk 56 Nieuwlande;22,7;28,9;17,3
;WK011857;Wijk 57 Nieuweroord;22,4;30,6;20,7
;WK011858;Wijk 58 Tiendeveen;22,9;33,8;16,5
;WK011859;Wijk 59 Stuifzand;24,5;29,4;26,1
;WK011860;Wijk 60 Pesse;24;33,6;19,1
