"Gemeente","SES-WOA totaalscore 2019"
"Aa en Hunze","0,138"
"Aalsmeer","0,209"
"Aalten","0,087"
"Achtkarspelen","-0,067"
"Alblasserdam","0,024"
"Albrandswaard","0,224"
"Alkmaar","0,015"
"Almelo","-0,192"
"Almere","0,020"
"Alphen aan den Rijn","0,131"
"Alphen-Chaam","0,258"
"Altena","0,127"
"Ameland","0,100"
"Amersfoort","0,116"
"Amstelveen","0,128"
"Amsterdam","-0,100"
"Apeldoorn","0,025"
"Arnhem","-0,199"
"Assen","-0,021"
"Asten","0,102"
"Baarle-Nassau","0,077"
"Baarn","0,146"
"Barendrecht","0,227"
"Barneveld","0,155"
"Beek","0,061"
"Beekdaelen","0,076"
"Beemster","0,266"
"Beesel","0,012"
"Berg en Dal","0,016"
"Bergeijk","0,223"
"Bergen (L.)","0,050"
"Bergen (NH.)","0,160"
"Bergen op Zoom","-0,034"
"Berkelland","0,093"
"Bernheze","0,181"
"Best","0,174"
"Beuningen","0,144"
"Beverwijk","-0,006"
"De Bilt","0,187"
"Bladel","0,197"
"Blaricum","0,266"
"Bloemendaal","0,344"
"Bodegraven-Reeuwijk","0,209"
"Boekel","0,208"
"Borger-Odoorn","0,019"
"Borne","0,139"
"Borsele","0,144"
"Boxmeer","0,128"
"Boxtel","0,074"
"Breda","0,013"
"Brielle","0,162"
"Bronckhorst","0,156"
"Brummen","0,063"
"Brunssum","-0,168"
"Bunnik","0,310"
"Bunschoten","0,189"
"Buren","0,189"
"Capelle aan den IJssel","-0,047"
"Castricum","0,252"
"Coevorden","-0,013"
"Cranendonck","0,127"
"Cuijk","0,024"
"Culemborg","0,108"
"Dalfsen","0,205"
"Dantumadiel","-0,057"
"Delft","-0,252"
"Deurne","0,086"
"Deventer","-0,048"
"Diemen","-0,028"
"Dinkelland","0,215"
"Doesburg","-0,122"
"Doetinchem","-0,023"
"Dongen","0,128"
"Dordrecht","-0,068"
"Drechterland","0,157"
"Drimmelen","0,163"
"Dronten","0,044"
"Druten","0,093"
"Duiven","0,097"
"Echt-Susteren","0,049"
"Edam-Volendam","0,221"
"Ede","0,096"
